amfi_code,alpha_pct,beta
100016,3.605227256356805,7.037861844080885e-08
100025,4.282302445430367,-5.819313829584016e-09
100033,27.21234726411785,2.4595382946707332e-09
101206,21.47778911114338,2.5019547198785745e-08
101207,10.721975669949844,4.9105097320290246e-08
101208,6.087593425724538,1.1951154126247433e-09
102885,17.01246051107452,4.5095936390534276e-08
102886,2.769321147446778,3.793220878656218e-09
102887,16.285800254155806,4.424739186369431e-08
118632,21.812808631152883,1.7370353563894267e-08
118633,15.537229772774323,1.1671238134992684e-08
118634,17.834182372060784,2.8639489047363653e-08
118635,15.13923234989707,1.3891537116199006e-08
118636,5.076668908421592,-3.755934807248666e-09
119092,6.9211424304807245,-1.587052184426948e-08
119093,8.29813185889622,-2.7267235907204772e-08
119094,25.89011371298374,3.3026711283580495e-08
119095,4.586008062388842,-1.828680076076207e-08
119120,5.6037221679466,4.881002386038389e-09
119551,23.095514850294187,-1.4867986254342282e-08
119552,19.772839361713,-2.9112253276883997e-08
119598,30.273069346067288,1.4243127309739807e-08
119599,5.051970148065502,-4.0438482917798873e-08
120503,17.578358854836356,-1.992607013846943e-09
120504,21.227605793217954,-3.271421213587374e-08
120505,29.260658549205743,-8.794199901250922e-09
120506,16.374517684714345,-1.5707624779131752e-08
120507,6.745084823810789,4.5892934867219917e-10
120841,13.163393941389312,1.640958132888822e-08
120842,7.8481307752809535,-2.2614429300501744e-08
120843,27.277879323391314,3.36514115912053e-08
120844,6.454950190418705,9.638476694863058e-10
125497,17.89065599840679,2.0379355003832213e-08
125498,12.032093082463097,2.8845099050936127e-08
148567,27.021982179935026,-6.602009870553451e-08
148568,20.77734500097884,-2.759185319713075e-08
148569,28.345382184329743,3.663460322945927e-08
149322,13.158126971958318,-4.958513236217302e-09
149323,26.57609396287069,-2.8058054259101634e-08
149324,30.104045165551064,2.0817682010439144e-08
